aerobic1	aerobic2	anaerobic1	anaerobic2
NM_001178148.1	9.92450494518524	9.86504118205474	10.8442743094306	9.03375909713938
NM_001178149.1	9.13850241299625	8.57105088053057	9.5821610836114	10.7452830403423
NM_001178150.1	1171.67213152213	1170.68110275289	2148.01709077768	2154.08991136955
NM_001178151.1	190.243037420251	196.686704178714	89.2746773068038	91.8497685720001
NM_001178152.1	167.452583388931	167.435887150729	120.31108093483	118.602650207014
NM_001178153.1	31.8044931110311	40.6929222721426	28.7125268669201	33.1178618528824
NM_001178154.1	23.009865708062	20.6858069904648	21.9435793417304	24.3172631435605
NM_001178155.2	13.839647538196	14.9606063987595	10.0201546622384	10.119370920116
NM_001178156.1	9.91021899986199	10.4006666736717	9.33458839988971	10.6428054907763
NM_001178157.1	213.782103568086	217.744648855539	213.047945760223	218.491045228315
NM_001178158.2	21.1546063363767	22.2254633969126	26.1557058690837	28.0651524746071
NM_001178159.1	42.0464060172069	43.4340843305571	43.9343695612612	46.0031845806315
NM_001178160.1	13.9460246434657	13.8414711080527	8.87670242961931	8.27887272660001
NM_001178161.1	79.4228247342936	78.1123665398291	65.6918677700378	66.7086766340536
NM_001178162.2	6.6373043971103	7.40159608489799	4.3115270455826	4.1443764726889
NM_001178163.1	0	0	0.550984588872262	0.82663784660767
NM_001178164.1	10.4706126233485	11.0490131609791	17.9386827583266	17.6262605284463
NM_001178165.2	10.9187204212606	9.51671368543949	9.88402438395096	12.3638017924718
NM_001178166.1	24.6562407148066	24.7371165523312	34.3372167246863	35.0037553855965
NM_001178167.1	9.91569170595374	9.04624778740063	12.92056076675	12.9660459526833
NM_001178168.1	77.5423197748908	77.5668766860361	75.1497435795036	75.9473198034745
NM_001178169.1	5.97116161173844	6.39911435002432	5.91749782856565	5.61338335160946
NM_001178170.2	65.2551856137535	68.4518644548357	151.774828761404	145.279782706634
NM_001178171.2	11.2706002634593	10.1629440432152	8.62235957836721	8.49174032823812
NM_001178172.1	22.9465810140969	20.9525834673911	18.222013112588	18.3492169215593
NM_001178173.1	3.83461008354908	3.88078138963152	2.92886347560442	3.18942532157094
NM_001178174.1	18.3203805403626	18.0724006326548	21.3152911418915	22.3878218606635
NM_001178175.1	127.254610563636	132.323996622764	57.5051376079102	63.1101298382706
NM_001178176.1	11.2907935055479	11.6571633098377	10.4592133548889	9.08522340253356
NM_001178177.1	17.4877395589173	16.1090663880485	11.0661073330523	9.96667690929234
NM_001178178.1	27.2328475389428	23.84345343181	32.1504389345219	34.3535662240211
NM_001178179.1	12.0461795004855	15.4411514294126	13.8052555284544	14.756773654587
NM_001178180.1	65.5158502468673	65.9384092410722	107.355997228807	105.404778694053
NM_001178181.1	34.3770447854762	35.8968823876367	63.0704747160756	60.1231990303381
NM_001178182.1	12.1795430131283	11.8638049783081	20.2952166505985	17.0588054040982
NM_001178183.1	1906.09301231716	1927.90485562701	3076.08536604851	3082.83206433193
NM_001178184.1	33.4650476645894	33.4892833040732	24.0106779103219	22.364883284484
NM_001178185.1	36.109864872304	35.1293406568826	42.6419226266509	40.68085085095
NM_001178186.1	22.8203902224058	22.9186048507393	22.2349305940477	21.5287596269877
NM_001178187.1	89.2651362072418	88.2411286842812	80.6446338425239	81.6618052694479
NM_001178188.1	16.6970252737178	17.8762428085799	20.0737276936512	20.5617437931208
NM_001178189.1	225.624226209605	220.521634392406	477.36857112043	497.994962584705
NM_001178191.1	65.9957055551746	62.8756662556214	50.691996976727	40.9050321375937
NM_001178192.2	7.5085918622964	8.15791518193159	5.96076330147739	5.66425472323656
NM_001178193.1	8.45818820033041	8.37401614169964	8.59647471176619	7.93962300690294
NM_001178194.1	168.899758561715	166.383531427044	45.4944701509593	44.2137510025742
NM_001178195.2	11.1581739774612	11.6836797069742	8.70179134114404	8.8403370728447
NM_001178196.2	66.9622861345931	63.8919675875988	27.7840255237029	26.4730803541303
NM_001178197.1	2.53027445774026	2.41242569572494	2.43801304079224	3.25142681778905
NM_001178198.1	19.2703305323402	22.4378547579544	14.8305253744005	17.7372340726708
NM_001178199.2	11.8575358980223	13.2342287530124	8.91995340792474	9.94491916699249
NM_001178200.1	8.14077227667327	8.60524397597417	11.7127119588608	12.7843680397689
NM_001178201.2	41.3800412074919	40.4117448897646	119.815928112052	126.514670915043
NM_001178202.2	149.139889349836	149.386205189356	41.0972831074378	38.3957071825821
NM_001178203.1	4.66651931769558	4.00869317269822	4.40591049686711	4.34147847628857
NM_001178204.1	1.63894602097852	1.77064290499343	2.25094977552176	2.4029082662426
NM_001178205.1	0.359467366113704	0.298691891670404	0.967133026319402	0.997137983126841
NM_001178206.2	1.59107510788708	3.66357316025822	1.6789593550703	2.49773461459562
NM_001178208.1	0	0	0	0
NM_001178209.1	32.8373544016013	32.1027752849848	48.4384936005075	44.4582566738714
NM_001178210.1	28.2092266096361	28.7189747192388	26.2620076931212	22.136881731317
NM_001178211.1	34.9773057633002	36.5772918412003	21.5687307763577	20.099137217576
NM_001178212.1	27.1086081576821	28.981943911007	19.240066252543	22.4897624242739
NM_001178213.1	0	0	0.0970822037629893	0
NM_001178214.1	0	0	0	0
NM_001178215.2	29.953745588965	30.3970188363095	36.1037952212224	32.4804381608771
NM_001178216.1	230.692915596477	237.410624105576	586.387681735668	589.354051797661
NM_001178217.1	22.0300690467739	20.3270865530651	29.1088091529803	25.9916010293937
NM_001178218.2	4.29595636779674	4.05287435252336	4.65237463513132	3.93974582403672
NM_001178219.1	17.8418901859823	3.53949664496316	11.1487521206896	13.8329860906338
NM_001178220.2	9.19412265715944	10.2912778018402	8.64913279212748	8.007811610193
NM_001178221.1	90.7628259062843	89.8457194856216	28.187820726155	28.3941513525795
NM_001178222.1	33.5623579782078	33.9758359252672	42.7631115402481	38.6252056562586
