target_id	pval	qval	test_stat	rss	degrees_free	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
1	NM_001181124.1	2.58502046128915e-10	1.26883944044873e-06	39.9653956343786	15.363396949021	1	8.41731072174271	5.12113231634034	0.000310940826790375	5.12082137551354	0.106622500474224	5.12082137551354
2	NR_132186.1	6.55166664603475e-10	1.26883944044873e-06	38.1497937507797	3.64090572204535	1	9.87976658572231	1.21363524068178	6.02751047801456e-05	1.213574965577	0.132459454438845	1.213574965577
3	NR_132187.1	6.55166664603475e-10	1.26883944044873e-06	38.1497937507797	3.64090572204535	1	9.87976658572231	1.21363524068178	6.02751047801456e-05	1.213574965577	0.132459454438845	1.213574965577
4	NM_001178902.1	4.30282231635155e-09	1.44839690032749e-06	34.481679643363	6.67886641148985	1	8.18584767237286	2.22628880382995	0.000341502238230401	2.22594730159172	0.0988321419230405	2.22594730159172
5	NM_001179305.1	6.06481828458307e-09	1.44839690032749e-06	33.8137663389258	0.431345957515555	1	11.0692013357704	0.143781985838518	1.34629799592107e-05	0.143768522858559	0.113558536659372	0.143768522858559
6	NM_001179347.3	6.58921512031503e-09	1.44839690032749e-06	33.6524406687803	14.2812479636055	1	8.20165619587142	4.7604159878685	0.000892380841826767	4.75952360702667	0.0993839635370534	4.75952360702667
7	NM_001180385.3	5.58411825107281e-09	1.44839690032749e-06	33.9744278433225	1.86216149884072	1	9.00389635224575	0.620720499613571	0.000175861580781057	0.620544638032792	0.122659702245499	0.620544638032792
8	NM_001180810.3	6.38784417477758e-09	1.44839690032749e-06	33.7128163532188	2.8184660618295	1	8.51961927915616	0.939488687276498	0.00026531775420772	0.939223369522292	0.109841016473879	0.939223369522292
9	NM_001181121.1	2.54872375226977e-09	1.44839690032749e-06	35.5013613739536	0.833515062561287	1	10.2519843420528	0.277838354187096	4.20584113252866e-05	0.27779629577577	0.13048807906967	0.27779629577577
10	NM_001181122.1	2.50467089446887e-09	1.44839690032749e-06	35.5353235028496	3.85110203969518	1	10.0725825985872	1.28370067989839	5.59638425996968e-05	1.28364471605579	0.131910299610726	1.28364471605579
11	NM_001181389.1	2.02001274142297e-09	1.44839690032749e-06	35.9542886382333	10.1082521235518	1	8.22478353163811	3.36941737451728	0.000655371638156971	3.36876200287913	0.100186480169708	3.36876200287913
12	NM_001181781.1	6.51603840345496e-09	1.44839690032749e-06	33.6741642889997	0.528133862130713	1	9.89079887732777	0.176044620710238	4.16794480320371e-05	0.176002941262206	0.132455435855166	0.176002941262206
13	NM_001181943.1	6.73093223904341e-09	1.44839690032749e-06	33.611048398474	1.16745112886346	1	9.46145625837685	0.389150376287819	9.44088196131278e-05	0.389055967468207	0.130198505246074	0.389055967468207
14	NM_001181945.1	3.97268868193912e-09	1.44839690032749e-06	34.6370683794436	1.71373383480488	1	9.35067034271172	0.571244611601627	0.000119273495905897	0.571125338105721	0.128835361813361	0.571125338105721
15	NM_001181996.1	5.48630510194689e-09	1.44839690032749e-06	34.0088116432633	6.1411577258966	1	7.99413270753946	2.04705257529886	0.000552503218405507	2.04650007208046	0.0919523676996166	2.04650007208046
16	NM_001182124.1	5.49358793544465e-09	1.44839690032749e-06	34.0062304701053	1.14056090956715	1	9.72296055649049	0.380186969855715	6.47424568813193e-05	0.380122227398835	0.132159135568759	0.380122227398835
17	NM_001182136.1	5.84070058251621e-09	1.44839690032749e-06	33.8870221190665	0.501676762930194	1	10.5617494125538	0.167225587643399	2.55320880981887e-05	0.1672000555553	0.126007058979863	0.1672000555553
18	NM_001183407.1	4.86720025384527e-09	1.44839690032749e-06	34.2418077715584	6.53911403627194	1	7.93299365606415	2.17970467875731	0.000593094305407467	2.17911158445191	0.0896961605879216	2.17911158445191
19	NM_001183490.1	3.66943147264297e-09	1.44839690032749e-06	34.7916538960371	3.46032353432063	1	8.88295034257972	1.15344117810688	0.000173386909828362	1.15326779119705	0.119876895262631	1.15326779119705
20	NM_001183807.3	2.67357344117717e-09	1.44839690032749e-06	35.4082114881178	22.4067929745758	1	7.77831228641696	7.46893099152526	0.0018666107000338	7.46706438082522	0.0838888699826155	7.46706438082522
21	NM_001184001.1	3.09390493256937e-09	1.44839690032749e-06	35.123835817512	0.893918917301671	1	10.1846888397908	0.297972972433891	6.07998942822791e-05	0.297912172539608	0.131124048619499	0.297912172539608
22	NM_001184177.1	2.46825646903008e-09	1.44839690032749e-06	35.5638515226152	0.271777556053723	1	11.7435101068114	0.0905925186845744	5.17395399231149e-06	0.0905873447305819	0.0894434508212987	0.0905873447305819
23	NM_001184218.2	5.02545406412699e-09	1.44839690032749e-06	34.1795405029863	12.6098255295514	1	8.37892596798933	4.20327517651714	0.000454535877089904	4.20282064064006	0.105376821590695	4.20282064064006
24	NR_132209.1	1.27437957623837e-09	1.44839690032749e-06	36.852112104417	1.6436750109354	1	9.77924402616773	0.547891670311798	5.82450574842871e-05	0.547833425254315	0.132343525896574	0.547833425254315
25	NR_132213.1	3.50710934172509e-09	1.44839690032749e-06	34.8797422400129	1.42977845029847	1	9.25637515658174	0.476592816766158	4.11487553845857e-05	0.476551668010773	0.127435500765244	0.476551668010773
26	NR_132218.1	1.27437957623837e-09	1.44839690032749e-06	36.852112104417	1.6436750109354	1	9.77924402616773	0.547891670311798	5.82450574842871e-05	0.547833425254315	0.132343525896574	0.547833425254315
27	NR_132222.1	3.50710934172509e-09	1.44839690032749e-06	34.8797422400129	1.42977845029847	1	9.25637515658174	0.476592816766158	4.11487553845857e-05	0.476551668010773	0.127435500765244	0.476551668010773
