genesymbol,gal1RGexp,gal1RGsig,gal4RGexp,gal4RGsig,gal80Rexp,gal80Rsig,name
CNS1,0.082,0.10014,-0.479,1.60E-05,0.519,3.71E-04,YBR155W
GCN4,0.035,0.33125,0.032,0.41727,-0.031,0.55639,YEL009C
ILV2,0.04,0.27002,-0.358,9.43E-04,0.095,0.14717,YMR108W
HIS3,-0.432,0.010979,-0.71,1.80E-04,0.239,0.0054895,YOR202W
HIS7,-0.258,2.32E-06,-1.252,1.65E-07,0.898,3.30E-05,YBR248C
ARG1,-0.652,4.93E-06,-0.541,4.10E-07,-0.815,5.94E-10,YOL058W
ADE4,-0.514,1.52E-09,-1.296,1.47E-08,1.202,4.77E-11,YMR300C
CIN4,0.414,0.037256,0,0.39944,0.221,0.12805,YMR138W
RPL42B,-0.359,7.74E-07,-0.371,2.52E-06,-0.139,0.012998,YHR141C
AHP1,-0.603,1.48E-09,0.466,2.57E-04,-0.486,2.34E-11,YLR109W
STE50,0.126,0.003766,0.02,0.71364,0.284,0.015244,YCL032W
YDR032C,0.113,0.026191,0.331,2.03E-06,-0.211,7.14E-04,YDR032C
STE11,0.144,0.023963,0.037,0.50139,0.374,0.0010869,YLR362W
STE5,-0.068,0.34875,-0.121,0.42858,0.023,0.92304,YDR103W
CBF1,0.165,0.0013953,-0.306,0.0034755,0.103,0.43529,YJR060W
GAL10,0.061,0.098603,-1.993,3.32E-11,2.856,3.94E-18,YBR019C
GAL11,0.171,0.001834,0.055,0.33923,0.111,0.30922,YOL051W
MIG1,0.345,1.10E-07,0.31,1.72E-06,-0.28,0.0070533,YGL035C
GAL1,-2.426,7.01E-09,-2.406,2.50E-09,2.939,2.81E-18,YBR020W
GAL2,0.176,2.46E-04,-0.57,1.67E-07,0.892,7.34E-10,YLR081W
GAL4,0.1,0.11614,-0.758,1.26E-04,-0.211,0.088214,YPL248C
GAL7,0.153,7.89E-04,-1.995,3.63E-11,3.126,3.94E-17,YBR018C
MSL1,-0.044,0.74397,-0.337,0.19987,-0.049,0.89526,YIR009W
BAS1,0.466,6.12E-06,-0.936,7.65E-06,1.101,6.99E-04,YKR099W
SSL2,0.124,0.019613,0.069,0.36733,0.264,0.045357,YIL143C
ATC1,0.04,0.4641,-0.886,9.40E-07,0.404,0.10407,YDR184C
YNL091W,0.288,1.97E-06,0.154,0.026384,0.723,2.37E-04,YNL091W
SIN4,-0.146,0.018347,-0.218,0.053936,-0.141,0.39009,YNL236W
PRP40,0.21,4.27E-04,-0.277,3.54E-04,0.561,8.72E-05,YKL012W
RAD52,0.199,3.39E-04,-0.136,0.033332,0.363,0.0030735,YML032C
RFA2,0.028,0.47284,-0.111,0.034589,-0.121,0.24786,YNL312W
MSL5,0.015,0.74865,-0.03,0.60558,0.101,0.35769,YLR116W
