"EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"6133.28291708","pp","YBL050W (pp) YOR036W","false","pp","YBL050W (pp) YOR036W"
"485.5","pp","YHR084W (pp) YMR043W","false","pp","YHR084W (pp) YMR043W"
"4.83333333","pd","YHR084W (pd) YDR461W","false","pd","YHR084W (pd) YDR461W"
"4.83333333","pd","YHR084W (pd) YFL026W","false","pd","YHR084W (pd) YFL026W"
"2440.0","pp","YBR274W (pp) YMR255W","false","pp","YBR274W (pp) YMR255W"
"1960.0","pp","YMR255W (pp) YGL122C","false","pp","YMR255W (pp) YGL122C"
"496.0","pp","YLR452C (pp) YHR005C","false","pp","YLR452C (pp) YHR005C"
"988.0","pp","YHR005C (pp) YLR362W","false","pp","YHR005C (pp) YLR362W"
"496.0","pd","YDR299W (pd) YJL194W","false","pd","YDR299W (pd) YJL194W"
"8.0","pp","YIL074C (pp) YNL311C","false","pp","YIL074C (pp) YNL311C"
"496.0","pd","YOR120W (pd) YPL248C","false","pd","YOR120W (pd) YPL248C"
"230.66666667","pp","YPR041W (pp) YOR361C","false","pp","YPR041W (pp) YOR361C"
"265.33333333","pp","YPR041W (pp) YMR309C","false","pp","YPR041W (pp) YMR309C"
"1476.0","pd","YDL215C (pd) YER040W","false","pd","YDL215C (pd) YER040W"
"1476.0","pp","YDL215C (pp) YLR432W","false","pp","YDL215C (pp) YLR432W"
"12.0","pp","YER079W (pp) YHR135C","false","pp","YER079W (pp) YHR135C"
"12.0","pp","YER079W (pp) YNL154C","false","pp","YER079W (pp) YNL154C"
"7802.71708292","pp","YDL030W (pp) YDL013W","false","pp","YDL030W (pp) YDL013W"
"496.0","pp","YDL030W (pp) YMR005W","false","pp","YDL030W (pp) YMR005W"
"249.0","pp","YGR085C (pp) YLR075W","false","pp","YGR085C (pp) YLR075W"
"739.0","pp","YGR085C (pp) YDR395W","false","pp","YGR085C (pp) YDR395W"
"496.0","pp","YDR395W (pp) YDL075W","false","pp","YDR395W (pp) YDL075W"
"1929.0","pp","YDR395W (pp) YIL133C","false","pp","YDR395W (pp) YIL133C"
"496.0","pp","YDR395W (pp) YNL069C","false","pp","YDR395W (pp) YNL069C"
"496.0","pp","YDR395W (pp) YER056CA","false","pp","YDR395W (pp) YER056CA"
"496.0","pp","YDR395W (pp) YIL052C","false","pp","YDR395W (pp) YIL052C"
"1929.0","pp","YDR395W (pp) YOL127W","false","pp","YDR395W (pp) YOL127W"
"739.0","pp","YDR395W (pp) YPR102C","false","pp","YDR395W (pp) YPR102C"
"496.0","pd","YGR088W (pd) YLR256W","false","pd","YGR088W (pd) YLR256W"
"6.0","pp","YER081W (pp) YIL074C","false","pp","YER081W (pp) YIL074C"
"496.0","pd","YPR113W (pd) YMR043W","false","pd","YPR113W (pd) YMR043W"
"496.0","pp","YIL070C (pp) YML054C","false","pp","YIL070C (pp) YML054C"
"496.0","pp","YGR046W (pp) YNL236W","false","pp","YGR046W (pp) YNL236W"
"496.0","pp","YDR070C (pp) YFL017C","false","pp","YDR070C (pp) YFL017C"
"8540.0041292","pp","YOR212W (pp) YLR362W","false","pp","YOR212W (pp) YLR362W"
"496.0","pp","YNL036W (pp) YIR009W","false","pp","YNL036W (pp) YIR009W"
"496.0","pp","YML114C (pp) YDR167W","false","pp","YML114C (pp) YDR167W"
"1476.0","pp","YMR117C (pp) YCL032W","false","pp","YMR117C (pp) YCL032W"
"496.0","pp","YMR117C (pp) YPR010C","false","pp","YMR117C (pp) YPR010C"
"8.0","pp","YDL088C (pp) YER110C","false","pp","YDL088C (pp) YER110C"
"2.0","pp","YLR197W (pp) YDL014W","false","pp","YLR197W (pp) YDL014W"
"2.0","pp","YLR197W (pp) YOR310C","false","pp","YLR197W (pp) YOR310C"
"4.0","pp","YGL202W (pp) YGR074W","false","pp","YGL202W (pp) YGR074W"
"4.0","pp","YGR074W (pp) YBR043C","false","pp","YGR074W (pp) YBR043C"
"4.0","pp","YBR170C (pp) YGR048W","false","pp","YBR170C (pp) YGR048W"
"496.0","pp","YDL023C (pp) YJL159W","false","pp","YDL023C (pp) YJL159W"
"496.0","pp","YGR136W (pp) YGR058W","false","pp","YGR136W (pp) YGR058W"
"496.0","pp","YLR345W (pp) YLR321C","false","pp","YLR345W (pp) YLR321C"
"6.0","pp","YBL079W (pp) YDL088C","false","pp","YBL079W (pp) YDL088C"
"5236.0","pp","YBR045C (pp) YIL045W","false","pp","YBR045C (pp) YIL045W"
"2962.0","pp","YBR045C (pp) YOR178C","false","pp","YBR045C (pp) YOR178C"
"3174.0","pp","YER054C (pp) YER133W","false","pp","YER054C (pp) YER133W"
"2746.0","pp","YER054C (pp) YBR045C","false","pp","YER054C (pp) YBR045C"
"496.0","pp","YPR145W (pp) YMR117C","false","pp","YPR145W (pp) YMR117C"
"988.0","pp","YDR277C (pp) YJR022W","false","pp","YDR277C (pp) YJR022W"
"496.0","pp","YDR277C (pp) YDL194W","false","pp","YDR277C (pp) YDL194W"
