"EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"988.0","pp","YDR412W (pp) YLR117C","false","pp","YDR412W (pp) YLR117C"
"18040.0","pp","YDR412W (pp) YPR119W","false","pp","YDR412W (pp) YPR119W"
"1476.0","pp","YCR086W (pp) YOR264W","false","pp","YCR086W (pp) YOR264W"
"739.0","pd","YGL013C (pd) YJL219W","false","pd","YGL013C (pd) YJL219W"
"739.0","pd","YGL013C (pd) YOL156W","false","pd","YGL013C (pd) YOL156W"
"496.0","pp","YLR117C (pp) YBR190W","false","pp","YLR117C (pp) YBR190W"
"18360.0","pd","YPR119W (pd) YMR043W","false","pd","YPR119W (pd) YMR043W"
"2.0","pp","YDL014W (pp) YOR310C","false","pp","YDL014W (pp) YOR310C"
"3377.91544567","pp","YER179W (pp) YLR044C","false","pp","YER179W (pp) YLR044C"
"496.0","pp","YER179W (pp) YLR134W","false","pp","YER179W (pp) YLR134W"
"2481.91544567","pp","YER179W (pp) YIL105C","false","pp","YER179W (pp) YIL105C"
"1073.41544567","pp","YOR361C (pp) YMR309C","false","pp","YOR361C (pp) YMR309C"
"1287.12973138","pp","YOR361C (pp) YDR429C","false","pp","YOR361C (pp) YDR429C"
"1581.91544567","pp","YMR309C (pp) YNL047C","false","pp","YMR309C (pp) YNL047C"
"8.0","pp","YOR326W (pp) YGL106W","false","pp","YOR326W (pp) YGL106W"
"247.0","pp","YMR186W (pp) YBR155W","false","pp","YMR186W (pp) YBR155W"
"496.0","pd","YEL009C (pd) YMR108W","false","pd","YEL009C (pd) YMR108W"
"635.26923077","pd","YEL009C (pd) YOR202W","false","pd","YEL009C (pd) YOR202W"
"3692.35897436","pd","YEL009C (pd) YCL030C","false","pd","YEL009C (pd) YCL030C"
"496.0","pd","YEL009C (pd) YBR248C","false","pd","YEL009C (pd) YBR248C"
"1902.08974359","pd","YEL009C (pd) YOL058W","false","pd","YEL009C (pd) YOL058W"
"496.0","pd","YEL009C (pd) YMR300C","false","pd","YEL009C (pd) YMR300C"
"1797.88974359","pp","YOL058W (pp) YNL189W","false","pp","YOL058W (pp) YNL189W"
"496.0","pp","YMR138W (pp) YHR141C","false","pp","YMR138W (pp) YHR141C"
